Character,Frequency,Radical_position,Radical,Strokes
盹,4220,目 109.4,目,9
熵,4221,火 86.11,火,15
镐,4222,金 167.10,金,15
馐,4223,食 184.11,食,13
嘤,4224,口 30.11,口,14
癞,4225,疒 104.13,疒,18
骰,4226,骨 188.4,骨,13
韭,4227,韭 179.0,韭,9
阖,4228,門 169.10,門,13
瞑,4229,目 109.10,目,15
裨,4230,衣 145.8,衣,13
宕,4231,宀 40.5,宀,8
戾,4232,戶 63.4,戶,8
镌,4233,金 167.10,金,15
溟,4234,水 85.10,水,13
